"Date","Time","Ticker","Expiry","Strike","C/P","Spot","Qty","Price","Type","Volume","OI","Premium","Sector","Unusual"
"5/5/21","15:02:36.519","AMC","2021-05-07","9.5","CALLS","9.18","750","0.33","BLOCK","9836","6921","$24,750","Discretionary","FALSE"
"5/5/21","14:52:59.608","AMC","2021-05-07","9","PUTS","9.2","585","0.33","SWEEP","4056","9667","$19,305","Discretionary","FALSE"
"5/5/21","14:53:14.206","AMC","2021-05-07","9.5","CALLS","9.2","678","0.33","SWEEP","8728","6921","$22,374","Discretionary","FALSE"
"5/5/21","14:52:05.564","AMC","2021-05-07","9.5","CALLS","9.2","507","0.32","SWEEP","8048","6921","$16,224","Discretionary","FALSE"
"5/5/21","14:51:07.084","AMC","2021-05-07","9.5","CALLS","9.2","750","0.32","SWEEP","6781","6921","$24,000","Discretionary","FALSE"
"5/4/21","11:38:31.259","AMC","2022-01-21","40","CALLS","9.22","904","0.8","BLOCK","3760","29567","$72,320","Discretionary","FALSE"
"5/4/21","09:41:17.663","AMC","2021-05-21","10","PUTS","9.38","500","1.4","BLOCK","525","5799","$70,000","Discretionary","FALSE"
"5/3/21","15:31:32.810","AMC","2021-05-07","10","CALLS","9.72","1000","0.42","SPLIT","21223","22610","$42,000","Discretionary","FALSE"
"5/3/21","15:31:32.810","AMC","2021-05-07","10","CALLS","9.72","511","0.42","BLOCK","20734","22610","$21,462","Discretionary","FALSE"
"5/3/21","15:23:01.840","AMC","2021-05-07","10","CALLS","9.72","723","0.41","SPLIT","20063","22610","$29,643","Discretionary","FALSE"
"5/3/21","14:01:05.297","AMC","2021-05-14","11","CALLS","9.71","518","0.45","SWEEP","3258","19447","$23,310","Discretionary","TRUE"
"5/3/21","12:13:01.218","AMC","2021-05-07","10","PUTS","9.73","786","0.7","SPLIT","5757","12167","$55,020","Discretionary","FALSE"
"5/3/21","11:30:26.626","AMC","2021-05-07","11","CALLS","9.81","529","0.22","SWEEP","5460","12323","$11,637","Discretionary","TRUE"
"5/3/21","11:30:12.814","AMC","2021-05-07","10","CALLS","9.81","1000","0.44","BLOCK","10386","22610","$44,000","Discretionary","FALSE"
"5/3/21","09:39:00.606","AMC","2021-05-07","10","CALLS","9.86","870","0.47","SWEEP","3502","22610","$40,890","Discretionary","FALSE"
"5/3/21","09:30:01.915","AMC","2021-05-07","11","CALLS","10.07","678","0.292","SWEEP","679","12323","$19,768","Discretionary","TRUE"
"4/29/21","13:18:24.435","AMC","2021-05-14","11","CALLS","10.22","543","0.8","SWEEP","6245","11614","$43,440","Discretionary","TRUE"
"4/29/21","13:18:10.437","AMC","2021-04-30","10.5","PUTS","10.21","589","0.467","SWEEP","7435","7131","$27,527","Discretionary","FALSE"
"4/29/21","10:47:43.557","AMC","2021-05-14","11","CALLS","10.48","881","0.92","BLOCK","3670","11614","$81,052","Discretionary","FALSE"
"4/29/21","10:36:17.636","AMC","2021-05-14","11","CALLS","10.49","508","0.91","SWEEP","2421","11614","$46,228","Discretionary","FALSE"
"4/28/21","12:41:11.515","AMC","2021-04-30","10.5","CALLS","10.86","908","0.57","SWEEP","4811","12555","$51,756","Discretionary","FALSE"
"4/28/21","12:04:03.679","AMC","2021-05-14","11","CALLS","10.89","605","1.1","SWEEP","6661","6059","$66,550","Discretionary","FALSE"
"4/28/21","11:45:09.865","AMC","2021-05-14","11","CALLS","10.96","500","1.12","BLOCK","5671","6059","$56,000","Discretionary","FALSE"
"4/28/21","11:40:11.028","AMC","2021-05-14","11","CALLS","10.99","500","1.14","SWEEP","3764","6059","$57,000","Discretionary","FALSE"
"4/28/21","11:35:34.597","AMC","2021-05-14","11","CALLS","10.95","506","1.096","SWEEP","3114","6059","$55,482","Discretionary","FALSE"
"4/28/21","11:23:30.456","AMC","2021-05-14","11","CALLS","10.96","535","1.097","SWEEP","1481","6059","$58,681","Discretionary","FALSE"
"4/28/21","10:56:51.523","AMC","2021-05-07","11","CALLS","10.88","681","0.78","SWEEP","3240","4945","$53,118","Discretionary","FALSE"
"4/27/21","11:03:24.267","AMC","2021-04-30","11.5","CALLS","11.85","798","0.8","SWEEP","7330","9888","$63,840","Discretionary","FALSE"
"4/27/21","10:59:43.712","AMC","2021-04-30","11","PUTS","11.76","590","0.33","SWEEP","5403","9436","$19,470","Discretionary","FALSE"
"4/27/21","10:18:36.111","AMC","2021-04-30","11","CALLS","11.94","700","1.23","SPLIT","5298","20592","$86,100","Discretionary","FALSE"
"4/27/21","09:44:46.497","AMC","2021-05-07","10.5","PUTS","11.73","957","0.538","SWEEP","1240","1257","$51,446","Discretionary","FALSE"
"4/27/21","09:35:03.966","AMC","2021-05-21","13","CALLS","12.05","678","1.29","SWEEP","805","8680","$87,462","Discretionary","TRUE"
"4/27/21","09:34:29.141","AMC","2021-04-30","12","CALLS","12.21","588","0.86","SWEEP","6092","18283","$50,567","Discretionary","FALSE"
"4/27/21","09:30:06.394","AMC","2021-04-30","12","CALLS","11.65","1066","0.584","SWEEP","1614","18283","$62,237","Discretionary","FALSE"
"4/26/21","15:39:33.480","AMC","2021-06-18","12","PUTS","11.53","500","2.94","BLOCK","8279","1093","$147,000","Discretionary","FALSE"
"4/26/21","15:33:47.173","AMC","2021-06-18","12","PUTS","11.51","662","2.776","SWEEP","890","1093","$183,745","Discretionary","FALSE"
"4/26/21","15:23:50.884","AMC","2021-05-21","13","CALLS","11.65","767","1.08","SWEEP","2904","4427","$82,836","Discretionary","TRUE"
"4/26/21","14:49:28.115","AMC","2021-04-30","12.5","CALLS","11.91","574","0.57","SWEEP","7086","3085","$32,718","Discretionary","FALSE"
"4/26/21","14:48:43.067","AMC","2021-05-07","15","CALLS","11.95","361","0.48","SWEEP","3751","1887","$17,328","Discretionary","TRUE"
"4/26/21","14:39:12.846","AMC","2021-04-30","13","CALLS","11.62","923","0.3","SWEEP","11051","5112","$27,690","Discretionary","TRUE"
"4/26/21","10:47:08.259","AMC","2021-09-17","20","CALLS","10.95","500","1.85","BLOCK","719","4637","$92,500","Discretionary","FALSE"
"4/26/21","10:07:56.379","AMC","2021-05-21","12","CALLS","11.24","538","0.97","SWEEP","10617","6704","$52,186","Discretionary","FALSE"
"4/26/21","09:40:36.600","AMC","2021-04-30","11","PUTS","10.86","546","0.68","SPLIT","906","1203","$37,128","Discretionary","FALSE"
"4/26/21","09:39:51.568","AMC","2021-04-30","13","CALLS","10.93","877","0.18","SWEEP","2094","5112","$15,786","Discretionary","TRUE"
"4/26/21","09:38:38.299","AMC","2021-05-21","15","CALLS","10.8","541","0.5","BLOCK","1089","13293","$27,050","Discretionary","TRUE"
"4/26/21","09:32:30.561","AMC","2021-04-30","12","CALLS","10.71","836","0.25","BLOCK","1470","13606","$20,900","Discretionary","TRUE"
"4/23/21","10:13:01.496","AMC","2021-06-18","18","CALLS","10.06","836","0.74","SWEEP","1290","7353","$61,848","Discretionary","FALSE"
